team_id,shortName,teamName,head_coach,won,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,away_goals,home_goals
9,Ottawa,Senators,Roger Neilson,1,6.0,47.0,0.0,46.0,10.0,1.0,0.0,0.0,0.0,0.0,5,6
10,Toronto,Maple Leafs,Mike Babcock,355,2248.0,23076.0,14739.0,5104.0,1964.0,409.0,36818.7,8089.0,5938.0,9467.0,2152,2300
10,Toronto,Maple Leafs,Pat Quinn,210,1213.0,11344.0,4078.0,6882.0,1937.0,356.0,0.0,2285.0,989.0,2329.0,1099,1213
10,Toronto,Maple Leafs,Paul Maurice,76,482.0,5223.0,3410.0,2226.0,744.0,132.0,0.0,1853.0,1007.0,2100.0,516,502
10,Toronto,Maple Leafs,Peter Horachek,9,79.0,1229.0,1267.0,458.0,139.0,16.0,2085.0,346.0,350.0,545.0,92,129
10,Toronto,Maple Leafs,Randy Carlyle,94,551.0,5411.0,6429.0,2488.0,632.0,122.0,9547.6,2076.0,1503.0,3109.0,556,605
10,Toronto,Maple Leafs,Ron Wilson,130,855.0,9503.0,7226.0,3802.0,1189.0,200.0,7425.8,3272.0,2219.0,4782.0,921,963
10,Toronto,Maple Leafs,Sheldon Keefe,116,700.0,6912.0,3272.0,1404.0,536.0,136.0,10720.4,2432.0,1660.0,2796.0,680,652
11,Atlanta,Thrashers,Bob Hartley,136,852.0,8247.0,4847.0,4638.0,1548.0,260.0,0.0,3076.0,2355.0,3865.0,849,926
11,Atlanta,Thrashers,Craig Ramsay,34,218.0,2581.0,1512.0,930.0,289.0,53.0,4010.5,621.0,825.0,1292.0,238,254
11,Atlanta,Thrashers,Curt Fraser,50,480.0,5160.0,89.0,3341.0,856.0,117.0,0.0,0.0,0.0,0.0,571,610
11,Atlanta,Thrashers,Don Waddell,38,228.0,2247.0,1259.0,1087.0,328.0,57.0,0.0,600.0,704.0,1001.0,244,277
11,Atlanta,Thrashers,John Anderson,70,480.0,4716.0,2849.0,2309.0,673.0,120.0,0.0,1346.0,1559.0,2191.0,511,516
